title,link,author,rating
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,Sarah J. Maas,4.45
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,Patrick Rothfuss,4.55
The Lord of the Rings (Paperback),https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,J.R.R. Tolkien,"avg rating 4.52 — 648,101 ratings — published 1955"
"The Well of Ascension (Mistborn, #2)",https://www.goodreads.com/book/show/68429.The_Well_of_Ascension,Brandon Sanderson,4.38
"Assassin's Apprentice (Farseer Trilogy, #1)",https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,Robin Hobb,4.17
"Siege and Storm (The Shadow and Bone Trilogy, #2)",https://www.goodreads.com/book/show/14061955-siege-and-storm,Leigh Bardugo,3.83
"The Lies of Locke Lamora (Gentleman Bastard, #1)",https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,Scott Lynch,4.3
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",https://www.goodreads.com/book/show/29056083-harry-potter-and-the-cursed-child,J.K. Rowling,"avg rating 3.50 — 952,623 ratings — published 2016"
"Crown of Midnight (Throne of Glass, #2)",https://www.goodreads.com/book/show/76705490-crown-of-midnight,Sarah J. Maas,4.35
The Ocean at the End of the Lane (Hardcover),https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane,Neil Gaiman,4.02
"The Titan's Curse (Percy Jackson and the Olympians, #3)",https://www.goodreads.com/book/show/561456.The_Titan_s_Curse,Rick Riordan,4.36
"Graceling (Graceling Realm, #1)",https://www.goodreads.com/book/show/3236307-graceling,Kristin Cashore,"avg rating 4.07 — 445,513 ratings — published 2008"
"Red Queen (Red Queen, #1)",https://www.goodreads.com/book/show/22328546-red-queen,Victoria Aveyard,4.02
Uprooted (Hardcover),https://www.goodreads.com/book/show/22544764-uprooted,Naomi Novik,4.04
"The Color of Magic (Discworld, #1; Rincewind, #1)",https://www.goodreads.com/book/show/34497.The_Color_of_Magic,Terry Pratchett,"avg rating 4.00 — 369,900 ratings — published 1983"
The Princess Bride (Paperback),https://www.goodreads.com/book/show/21787.The_Princess_Bride,William Goldman,"avg rating 4.26 — 874,079 ratings — published 1973"
"A Wizard of Earthsea (Earthsea Cycle, #1)",https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea,Ursula K. Le Guin,"avg rating 4.01 — 296,836 ratings — published 1968"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth,Rick Riordan,4.42
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle,Diana Wynne Jones,"avg rating 4.29 — 311,823 ratings — published 1986"
"The Subtle Knife (His Dark Materials, #2)",https://www.goodreads.com/book/show/41637836-the-subtle-knife,Philip Pullman,"avg rating 4.14 — 422,014 ratings — published 1997"
"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com/book/show/2767052-the-hunger-games,Suzanne Collins,"avg rating 4.33 — 8,036,636 ratings — published 2008"
"Ruin and Rising (The Shadow and Bone Trilogy, #3)",https://www.goodreads.com/book/show/14061957-ruin-and-rising,Leigh Bardugo,4.01
"The Fifth Season (The Broken Earth, #1)",https://www.goodreads.com/book/show/19161852-the-fifth-season,N.K. Jemisin,4.31
"The Last Wish (The Witcher, #0.5)",https://www.goodreads.com/book/show/40603587-the-last-wish,Andrzej Sapkowski,"avg rating 4.14 — 318,609 ratings — published 1993"
The Silmarillion (Hardcover),https://www.goodreads.com/book/show/7332.The_Silmarillion,J.R.R. Tolkien,"avg rating 3.99 — 272,198 ratings — published 1977"
"The Last Olympian (Percy Jackson and the Olympians, #5)",https://www.goodreads.com/book/show/4556058-the-last-olympian,Rick Riordan,4.54
The Invisible Life of Addie LaRue (Hardcover),https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,V.E. Schwab,"avg rating 4.21 — 868,000 ratings — published 2020"
"Heir of Fire (Throne of Glass, #3)",https://www.goodreads.com/book/show/76706470-heir-of-fire,Sarah J. Maas,4.46
"The Magician's Nephew (Chronicles of Narnia, #6)",https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew,C.S. Lewis,"avg rating 4.05 — 510,286 ratings — published 1955"
"New Moon (The Twilight Saga, #2)",https://www.goodreads.com/book/show/49041.New_Moon,Stephenie Meyer,"avg rating 3.58 — 1,819,929 ratings — published 2006"
"The Wicked King (The Folk of the Air, #2)",https://www.goodreads.com/book/show/26032887-the-wicked-king,Holly Black,4.33
