title,link,author,rating,genres
Finishing School,https://www.goodreads.com/book/show/10874177-etiquette-espionage,Gail Carriger,3.82,"['steampunk', 'young-adult', 'historical-fiction', 'paranormal', 'vampires']"
The Belles,https://www.goodreads.com/book/show/23197837-the-belles,Dhonielle Clayton,3.82,"['young-adult', 'dystopia', 'young-adult-fantasy', 'romance']"
Quidditch Through the Ages (Hogwarts Library),https://www.goodreads.com/book/show/111450.Quidditch_Through_the_Ages,Kennilworthy Whisp,3.81,"['young-adult', 'childrens', 'magic', 'middle-grade']"
Empirium,https://www.goodreads.com/book/show/34323570-furyborn,Claire Legrand,3.81,"['young-adult', 'young-adult-fantasy', 'romance', 'high-fantasy', 'magic']"
Crave,https://www.goodreads.com/book/show/45892228-crave,Tracy Wolff,3.81,"['romance', 'young-adult', 'paranormal', 'vampires']"
Bethel,https://www.goodreads.com/book/show/49789629-the-year-of-the-witching,Alexis Henderson,3.81,"['horror', 'historical-fiction', 'witches', 'paranormal', 'young-adult']"
The Prince of Nothing,https://www.goodreads.com/book/show/301538.The_Darkness_That_Comes_Before,R. Scott Bakker,3.81,"['epic-fantasy', 'dark-fantasy', 'high-fantasy', 'science-fiction-fantasy', 'philosophy']"
Everless,https://www.goodreads.com/book/show/32320661-everless,Sara Holland,3.8,"['young-adult', 'young-adult-fantasy', 'romance', 'magic', 'high-fantasy']"
The Ghost Bride (Hardcover),https://www.goodreads.com/book/show/16248223-the-ghost-bride,Yangsze Choo,3.8,"['historical-fiction', 'romance', 'historical', 'paranormal', 'ghosts']"
The Dagger and the Coin,https://www.goodreads.com/book/show/8752885-the-dragon-s-path,Daniel Abraham,3.8,"['epic-fantasy', 'high-fantasy', 'dragons', 'science-fiction-fantasy', 'epic']"
Adrian x Isolde,https://www.goodreads.com/book/show/56651967-king-of-battle-and-blood,Scarlett St. Clair,3.8,"['romance', 'vampires', 'fantasy-romance', 'paranormal', 'adult', 'new-adult']"
The Bone Season,https://www.goodreads.com/book/show/17199504-the-bone-season,Samantha Shannon,3.8,"['young-adult', 'dystopia', 'science-fiction', 'paranormal', 'romance']"
Dorothy Must Die,https://www.goodreads.com/book/show/18053060-dorothy-must-die,Danielle Paige,3.8,"['young-adult', 'retellings', 'magic', 'fairy-tales', 'adventure']"
The Odyssey (Paperback),https://www.goodreads.com/book/show/1381.The_Odyssey,Homer,3.8,"['classics', 'poetry', 'mythology', 'school', 'literature']"
