title,link,author,rating
The Stormlight Archive,https://www.goodreads.com/book/show/17332218-words-of-radiance,Brandon Sanderson,4.76
Harry Potter,https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set,J.K. Rowling,4.74
The Empyrean,https://www.goodreads.com/book/show/61431922-fourth-wing,Rebecca Yarros,4.69
The Fitz and the Fool,https://www.goodreads.com/book/show/30688013-assassin-s-fate,Robin Hobb,4.65
Throne of Glass,https://www.goodreads.com/book/show/76715522-kingdom-of-ash,Sarah J. Maas,4.64
A Court of Thorns and Roses,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,Sarah J. Maas,4.63
Six of Crows,https://www.goodreads.com/book/show/22299763-crooked-kingdom,Leigh Bardugo,4.61
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings ,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien,4.61
The Dresden Files,https://www.goodreads.com/book/show/19486421-skin-game,Jim Butcher,4.56
Once Upon a Broken Heart,https://www.goodreads.com/book/show/59808071-the-ballad-of-never-after,Stephanie Garber,4.56
The Infernal Devices,https://www.goodreads.com/book/show/18335634-clockwork-princess,Cassandra Clare,4.56
The Heroes of Olympus,https://www.goodreads.com/book/show/12127810-the-house-of-hades,Rick Riordan,4.56
The Kingkiller Chronicle,https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,Patrick Rothfuss,4.55
The Wheel of Time,https://www.goodreads.com/book/show/7743175-a-memory-of-light,Robert Jordan,4.55
The Sandman Vol. 7: Brief Lives ,https://www.goodreads.com/book/show/25105.The_Sandman_Vol_7,Neil Gaiman,4.55
A Song of Ice and Fire,https://www.goodreads.com/book/show/147915.A_Storm_of_Swords_2,George R.R. Martin,4.54
Tress of the Emerald Sea ,https://www.goodreads.com/book/show/60531406-tress-of-the-emerald-sea,Brandon Sanderson,4.54
Percy Jackson and the Olympians,https://www.goodreads.com/book/show/4556058-the-last-olympian,Rick Riordan,4.54
Crescent City,https://www.goodreads.com/book/show/40132775-house-of-sky-and-breath,Sarah J. Maas,4.51
