title,link,author,rating
Chronicles of Elantra,https://www.goodreads.com/book/show/9542.Cast_in_Shadow,Michelle Sagara,3.8
The Dagger and the Coin,https://www.goodreads.com/book/show/8752885-the-dragon-s-path,Daniel Abraham,3.8
The Keys to the Kingdom,https://www.goodreads.com/book/show/47613.Mister_Monday,Garth Nix,3.8
The Ghost Bride ,https://www.goodreads.com/book/show/16248223-the-ghost-bride,Yangsze Choo,3.8
The Odyssey ,https://www.goodreads.com/book/show/1381.The_Odyssey,Homer,3.8
Everless,https://www.goodreads.com/book/show/32320661-everless,Sara Holland,3.8
Dorothy Must Die,https://www.goodreads.com/book/show/18053060-dorothy-must-die,Danielle Paige,3.8
The Bone Season,https://www.goodreads.com/book/show/17199504-the-bone-season,Samantha Shannon,3.8
Adrian x Isolde,https://www.goodreads.com/book/show/56651967-king-of-battle-and-blood,Scarlett St. Clair,3.8
Riverside,https://www.goodreads.com/book/show/68485.Swordspoint,Ellen Kushner,3.79
The Deep ,https://www.goodreads.com/book/show/42201962-the-deep,Rivers Solomon,3.79
The Lotus Wars,https://www.goodreads.com/book/show/10852343-stormdancer,Jay Kristoff,3.79
The Historian ,https://www.goodreads.com/book/show/30236962-the-historian,Elizabeth Kostova,3.79
Curse Workers,https://www.goodreads.com/book/show/6087756-white-cat,Holly Black,3.79
Lore ,https://www.goodreads.com/book/show/53375824-lore,Alexandra Bracken,3.78
Rose Daughter ,https://www.goodreads.com/book/show/8089.Rose_Daughter,Robin McKinley,3.78
The Half Bad Trilogy,https://www.goodreads.com/book/show/18079804-half-bad,Sally Green,3.78
Carve the Mark,https://www.goodreads.com/book/show/30117284-carve-the-mark,Veronica Roth,3.78
October Daye,https://www.goodreads.com/book/show/6294549-rosemary-and-rue,Seanan McGuire,3.77
Camelot Rising,https://www.goodreads.com/book/show/43568394-the-guinevere-deception,Kiersten White,3.77
The Falconer,https://www.goodreads.com/book/show/15791085-the-falconer,Elizabeth May,3.77
Of Fire and Stars,https://www.goodreads.com/book/show/25164304-of-fire-and-stars,Audrey Coulthurst,3.76
The Dandelion Dynasty,https://www.goodreads.com/book/show/18952341-the-grace-of-kings,Ken Liu,3.76
Hundred Kingdoms,https://www.goodreads.com/book/show/34499221-to-kill-a-kingdom,Alexandra Christo,3.76
Wings,https://www.goodreads.com/book/show/5056084-wings,Aprilynne Pike,3.76
Passenger,https://www.goodreads.com/book/show/20983362-passenger,Alexandra Bracken,3.76
Gallant ,https://www.goodreads.com/book/show/58064046-gallant,V.E. Schwab,3.75
Married to Magic,https://www.goodreads.com/book/show/55285911-a-deal-with-the-elf-king,Elise Kova,3.75
Gumiho,https://www.goodreads.com/book/show/42133479-wicked-fox,Kat Cho,3.75
Ravenspire,https://www.goodreads.com/book/show/23299513-the-shadow-queen,C.J. Redwine,3.74
The Serpent Gates,https://www.goodreads.com/book/show/45046552-the-unspoken-name,A.K. Larkwood,3.74
A Land Fit for Heroes,https://www.goodreads.com/book/show/3314369-the-steel-remains,Richard K. Morgan,3.74
Practical Magic,https://www.goodreads.com/book/show/22896.Practical_Magic,Alice Hoffman,3.74
The Twilight Saga,https://www.goodreads.com/book/show/53287484-midnight-sun,Stephenie Meyer,3.73
Before the Coffee Gets Cold,https://www.goodreads.com/book/show/44421460-before-the-coffee-gets-cold,Toshikazu Kawaguchi,3.73
Sorcerer Royal,https://www.goodreads.com/book/show/23943137-sorcerer-to-the-crown,Zen Cho,3.73
The Gilded Wolves,https://www.goodreads.com/book/show/39863498-the-gilded-wolves,Roshani Chokshi,3.73
Dark Olympus,https://www.goodreads.com/book/show/54659771-neon-gods,Katee Robert,3.73
Mr. Penumbra's 24-Hour Bookstore,https://www.goodreads.com/book/show/13538873-mr-penumbra-s-24-hour-bookstore,Robin Sloan,3.73
The Siren ,https://www.goodreads.com/book/show/6618272-the-siren,Kiera Cass,3.71
Tensorate,https://www.goodreads.com/book/show/33099588-the-black-tides-of-heaven,Neon Yang,3.71
Rise of the Empress,https://www.goodreads.com/book/show/33958230-forest-of-a-thousand-lanterns,Julie C. Dao,3.71
Cinderella Is Dead ,https://www.goodreads.com/book/show/43900612-cinderella-is-dead,Kalynn Bayron,3.71
The Kingdom of Back ,https://www.goodreads.com/book/show/45872054-the-kingdom-of-back,Marie Lu,3.7
Among Others ,https://www.goodreads.com/book/show/8706185-among-others,Jo Walton,3.7
The Bone Witch,https://www.goodreads.com/book/show/30095464-the-bone-witch,Rin Chupeco,3.7
The Rest of Us Just Live Here ,https://www.goodreads.com/book/show/22910900-the-rest-of-us-just-live-here,Patrick Ness,3.69
Wicked Lovely,https://www.goodreads.com/book/show/305234.Wicked_Lovely,Melissa Marr,3.69
The Atlas,https://www.goodreads.com/book/show/50520939-the-atlas-six,Olivie Blake,3.68
The Paper Magician,https://www.goodreads.com/book/show/20727654-the-paper-magician,Charlie N. Holmberg,3.68
Mexican Gothic ,https://www.goodreads.com/book/show/53152636-mexican-gothic,Silvia Moreno-Garcia,3.68
All the Stars and Teeth,https://www.goodreads.com/book/show/38325332-all-the-stars-and-teeth,Adalyn Grace,3.68
The Book Eaters ,https://www.goodreads.com/book/show/58724745-the-book-eaters,Sunyi Dean,3.67
The Beautiful,https://www.goodreads.com/book/show/42265183-the-beautiful,RenĂ©e Ahdieh,3.67
