title,link,author,rating
Outlander,https://www.goodreads.com/book/show/10987.Voyager,Diana Gabaldon,4.39
Magnus Chase and the Gods of Asgard,https://www.goodreads.com/book/show/28006120-the-ship-of-the-dead,Rick Riordan,4.39
The Poppy War,https://www.goodreads.com/book/show/41118857-the-dragon-republic,R.F. Kuang,4.39
The Queen's Thief,https://www.goodreads.com/book/show/40159.The_King_of_Attolia,Megan Whalen Turner,4.38
Empire of the Vampire,https://www.goodreads.com/book/show/56269205-empire-of-the-vampire,Jay Kristoff,4.38
Mercy Thompson,https://www.goodreads.com/book/show/6587387-silver-borne,Patricia Briggs,4.38
King of Scars,https://www.goodreads.com/book/show/36307674-rule-of-wolves,Leigh Bardugo,4.38
The Black Jewels,https://www.goodreads.com/book/show/363786.Queen_of_the_Darkness,Anne Bishop,4.37
Vampire Academy,https://www.goodreads.com/book/show/6527740-last-sacrifice,Richelle Mead,4.37
Book of the Ancestor,https://www.goodreads.com/book/show/35530652-grey-sister,Mark Lawrence,4.37
These Violent Delights,https://www.goodreads.com/book/show/44084762-our-violent-ends,Chloe Gong,4.37
The Emperor's Soul ,https://www.goodreads.com/book/show/13578175-the-emperor-s-soul,Brandon Sanderson,4.37
The Folk of the Air,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,Holly Black,4.37
PhĂ¨dre's Trilogy,https://www.goodreads.com/book/show/40223.Kushiel_s_Avatar,Jacqueline Carey,4.37
Tea Dragon,https://www.goodreads.com/book/show/34895950-the-tea-dragon-society,Kay O'Neill,4.36
Dance of Thieves,https://www.goodreads.com/book/show/34196663-vow-of-thieves,Mary E. Pearson,4.36
Raybearer,https://www.goodreads.com/book/show/50158128-raybearer,Jordan Ifueko,4.36
Powder Mage,https://www.goodreads.com/book/show/17608111-the-crimson-campaign,Brian McClellan,4.36
The Song of Achilles ,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,Madeline Miller,4.35
A Monster Calls ,https://www.goodreads.com/book/show/25480342-a-monster-calls,Patrick Ness,4.35
Amina al-Sirafi,https://www.goodreads.com/book/show/61294937-the-adventures-of-amina-al-sirafi,Shannon Chakraborty,4.35
The Trials of Apollo,https://www.goodreads.com/book/show/28006109-the-tyrant-s-tomb,Rick Riordan,4.35
The Broken Earth,https://www.goodreads.com/book/show/31817749-the-stone-sky,N.K. Jemisin,4.35
Ranger's Apprentice,https://www.goodreads.com/book/show/144350.The_Battle_for_Skandia,John Flanagan,4.35
The First Law,https://www.goodreads.com/book/show/902715.Before_They_Are_Hanged,Joe Abercrombie,4.34
Nevermoor,https://www.goodreads.com/book/show/34219873-the-trials-of-morrigan-crow,Jessica Townsend,4.34
The Stand ,https://www.goodreads.com/book/show/87591651-the-stand,Stephen King,4.34
The Riyria Chronicles,https://www.goodreads.com/book/show/16043804-the-crown-tower,Michael J. Sullivan,4.33
Matilda ,https://www.goodreads.com/book/show/39988.Matilda,Roald Dahl,4.33
The Hunger Games,https://www.goodreads.com/book/show/2767052-the-hunger-games,Suzanne Collins,4.33
An Ember in the Ashes,https://www.goodreads.com/book/show/31520883-a-sky-beyond-the-storm,Sabaa Tahir,4.33
Sevenwaters,https://www.goodreads.com/book/show/13927.Son_of_the_Shadows,Juliet Marillier,4.33
Shades of Magic,https://www.goodreads.com/book/show/29939230-a-conjuring-of-light,V.E. Schwab,4.33
Tales from the Shadowhunter Academy ,https://www.goodreads.com/book/show/28954137-tales-from-the-shadowhunter-academy,Cassandra Clare,4.32
The Heroes ,https://www.goodreads.com/book/show/9300768-the-heroes,Joe Abercrombie,4.32
The Burning,https://www.goodreads.com/book/show/41952489-the-rage-of-dragons,Evan Winter,4.32
Protector of the Small,https://www.goodreads.com/book/show/153800.Lady_Knight,Tamora Pierce,4.32
Hidden Legacy,https://www.goodreads.com/book/show/20705702-burn-for-me,Ilona Andrews,4.32
The Little Prince ,https://www.goodreads.com/book/show/157993.The_Little_Prince,Antoine de Saint-ExupĂ©ry,4.32
Lore Olympus,https://www.goodreads.com/book/show/57282218-lore-olympus,Rachel Smythe,4.32
Grishaverse,https://www.goodreads.com/book/show/34076952-the-language-of-thorns,Leigh Bardugo,4.31
Red Country ,https://www.goodreads.com/book/show/13521459-red-country,Joe Abercrombie,4.31
Ender's Saga,https://www.goodreads.com/book/show/375802.Ender_s_Game,Orson Scott Card,4.31
The Riftwar Saga,https://www.goodreads.com/book/show/43916.Magician,Raymond E. Feist,4.31
Immortals,https://www.goodreads.com/book/show/13836.Wild_Magic,Tamora Pierce,4.31
The Empire Trilogy,https://www.goodreads.com/book/show/13815.Servant_of_the_Empire,Raymond E. Feist,4.31
Kindred ,https://www.goodreads.com/book/show/60931.Kindred,Octavia E. Butler,4.3
Gentleman Bastard,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,Scott Lynch,4.3
The Locked Tomb,https://www.goodreads.com/book/show/39325105-harrow-the-ninth,Tamsyn Muir,4.3
The Lions of Al-Rassan ,https://www.goodreads.com/book/show/104101.The_Lions_of_Al_Rassan,Guy Gavriel Kay,4.3
Cemetery Boys,https://www.goodreads.com/book/show/52339313-cemetery-boys,Aiden Thomas,4.3
Warbreaker,https://www.goodreads.com/book/show/1268479.Warbreaker,Brandon Sanderson,4.3
The Kane Chronicles,https://www.goodreads.com/book/show/12893742-the-serpent-s-shadow,Rick Riordan,4.29
The Master and Margarita ,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita,Mikhail Bulgakov,4.29
Howlâ€™s Moving Castle,https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle,Diana Wynne Jones,4.29
The Cemetery of Forgotten Books,https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind,Carlos Ruiz ZafĂłn,4.29
Little Thieves,https://www.goodreads.com/book/show/54017820-little-thieves,Margaret Owen,4.29
Harper Hall,https://www.goodreads.com/book/show/28547.Dragonsinger,Anne McCaffrey,4.29
The Scholomance,https://www.goodreads.com/book/show/55559887-the-last-graduate,Naomi Novik,4.29
The Complete Grimm's Fairy Tales ,https://www.goodreads.com/book/show/22917.The_Complete_Grimm_s_Fairy_Tales,Jacob Grimm,4.28
His Dark Materials #1-3),https://www.goodreads.com/book/show/18116.His_Dark_Materials,Philip Pullman,4.28
Beka Cooper,https://www.goodreads.com/book/show/2964700-mastiff,Tamora Pierce,4.28
The Witcher,https://www.goodreads.com/book/show/25454056-sword-of-destiny,Andrzej Sapkowski,4.28
Liveship Traders,https://www.goodreads.com/book/show/45101.The_Mad_Ship,Robin Hobb,4.28
Abhorsen,https://www.goodreads.com/book/show/47624.Lirael,Garth Nix,4.28
Daughter of the Lioness,https://www.goodreads.com/book/show/34197390-trickster-s-queen,Tamora Pierce,4.28
The Band,https://www.goodreads.com/book/show/30841984-kings-of-the-wyld,Nicholas Eames,4.28
Bartimaeus,https://www.goodreads.com/book/show/59264.Ptolemy_s_Gate,Jonathan Stroud,4.27
Song of the Lioness,https://www.goodreads.com/book/show/13837.Lioness_Rampant,Tamora Pierce,4.27
The Dark Tower,https://www.goodreads.com/book/show/5091.The_Dark_Tower,Stephen King,4.27
Enchanted Forest Chronicles,https://www.goodreads.com/book/show/169875.Searching_for_Dragons,Patricia C. Wrede,4.27
The Last Herald-Mage #3),https://www.goodreads.com/book/show/28734.Magic_s_Price,Mercedes Lackey,4.27
Night Angel,https://www.goodreads.com/book/show/3754026-beyond-the-shadows,Brent Weeks,4.27
Chronicles of Narnia,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,C.S. Lewis,4.27
Dreamer Trilogy,https://www.goodreads.com/book/show/31373184-call-down-the-hawk,Maggie Stiefvater,4.27
The Others,https://www.goodreads.com/book/show/17563080-murder-of-crows,Anne Bishop,4.27
The Bloodsworn Saga,https://www.goodreads.com/book/show/52694527-the-shadow-of-the-gods,John Gwynne,4.27
Valdemar,https://www.goodreads.com/book/show/28735.By_the_Sword,Mercedes Lackey,4.26
